In-degree weak,Betweeness weak
0,7.563501172459551e-05
0,4.3276209209937614e-06
3,4.444957923068998e-08
0,5.270798296614469e-06
34,0.0003152400469101391
0,3.659725585151703e-05
4,5.884906167940537e-07
0,2.100416393488314e-06
3,7.937850626936866e-08
138,0.00012171249111171533
1,0.0
0,1.172218493600472e-07
0,9.326264217149215e-07
0,0.00018037911795258
0,1.0208027180850937e-06
0,0.0
0,7.162622832351744e-07
5,2.1211675287215e-05
2,0.0005654490331138514
1,0.0
2,0.0
25,1.0624586725999822e-06
0,0.0
0,5.114766662755997e-05
0,8.731437415898814e-06
0,1.1905051152695115e-07
124,0.001041762452793801
0,0.00013785899047723783
0,6.221615085435173e-06
1,0.0
3,1.1792730894226541e-08
1,0.0
35,0.00013835911168311732
0,8.386450687096985e-09
2,4.779871827084381e-06
1,0.0
1,0.0
56,0.00027481411336589183
1,0.000494773953311575
0,5.220439953525026e-06
5,2.9804055750912884e-06
0,7.817851394669863e-06
0,6.925095982824944e-07
15,0.00012941640147976104
0,0.0009407387151214808
0,0.0032093353082164565
0,0.0003254997487274657
0,5.515030613515812e-07
0,4.095127618484916e-05
1,7.902063656503362e-05
6,6.226458336052396e-06
1,0.0019474552920097758
0,7.104196220816704e-05
0,8.047267742247964e-07
3,0.0
0,0.0
0,0.00011249617887374667
1,0.0
1,0.0
6,1.6637144492054916e-07
1,5.630737959230649e-05
0,2.870509316700605e-07
14,9.511907354835666e-07
0,7.672439464194507e-06
1,0.0
0,6.698460644223083e-07
0,0.0001607526135678669
4,1.6955116066424486e-05
0,0.00012701884989442684
2,0.0
0,0.0
0,0.00012051157260830165
1,0.0
0,0.0
4,3.693498272820953e-08
0,0.0
0,1.0642433569202563e-05
0,0.0
0,0.00495611247776277
0,1.2668397910375145e-08
0,5.8784957675751016e-05
0,2.020642925595387e-05
4,9.491780637332973e-06
1,0.0
83,8.785474446160792e-05
1,0.0
0,0.0
0,0.0
6,1.5659563348271426e-06
1,0.0
0,0.005018591220452022
0,2.872361640725936e-05
5,2.0130082154523478e-08
1,5.459174942200206e-05
0,1.2383078706330517e-06
0,0.0
0,0.00011821384762807984
16,8.269880985499112e-05
1,0.0
2,0.0
1,0.0
0,0.0
3,1.5003362108505785e-06
4,1.2132562998696406e-05
2,0.0
0,1.4291742415893827e-05
0,0.0
1,0.00020716278562185532
5,1.086849493279176e-05
2,0.0
0,5.309906265079133e-05
0,0.0
1,3.5774133163150435e-05
0,2.311264655633376e-06
1,9.795473819770701e-05
1,5.3462066072789706e-05
1,0.0
0,1.7061488163301805e-06
1,0.0
0,0.00028208150586613885
0,2.2451890967296024e-05
1,0.0
0,0.0
0,7.98398758783258e-05
0,3.688301989436991e-10
1,6.046589975710987e-05
0,0.0001353535021760047
2,0.0
6,5.274812941396153e-05
0,5.9587253366648773e-08
0,2.258543261033807e-05
0,3.5788300063070475e-06
2,6.810417267616498e-08
0,3.728741024919376e-06
1,0.0
0,9.950697635768138e-08
0,0.0
0,5.318738802070984e-05
3,0.0
0,4.79573530860011e-06
0,1.0372264317834765e-07
0,6.099838406380442e-06
0,0.0
0,0.0
1,0.0
2,0.0
0,2.5920743355083853e-06
0,1.5091802914940626e-07
0,5.430677776467656e-08
3,0.0
1,1.922390081600808e-08
134,0.0018696176859339996
0,6.186524869892359e-05
3,5.82073146205302e-07
0,9.841768107767078e-07
4,1.2390776724373557e-08
0,3.3639094172344823e-06
2,5.101340662569751e-06
0,0.00010616151736409009
0,0.0
