Out-degree weak,Betweeness weak
21,7.563501172459551e-05
13,4.3276209209937614e-06
0,4.444957923068998e-08
34,5.270798296614469e-06
0,0.0003152400469101391
8,3.659725585151703e-05
9,5.884906167940537e-07
15,2.100416393488314e-06
0,7.937850626936866e-08
0,0.00012171249111171533
0,0.0
5,1.172218493600472e-07
3,9.326264217149215e-07
28,0.00018037911795258
6,1.0208027180850937e-06
1,0.0
10,7.162622832351744e-07
45,2.1211675287215e-05
64,0.0005654490331138514
0,0.0
0,0.0
0,1.0624586725999822e-06
1,0.0
32,5.114766662755997e-05
18,8.731437415898814e-06
4,1.1905051152695115e-07
0,0.001041762452793801
15,0.00013785899047723783
7,6.221615085435173e-06
0,0.0
0,1.1792730894226541e-08
0,0.0
0,0.00013835911168311732
7,8.386450687096985e-09
7,4.779871827084381e-06
0,0.0
0,0.0
3,0.00027481411336589183
69,0.000494773953311575
13,5.220439953525026e-06
0,2.9804055750912884e-06
16,7.817851394669863e-06
14,6.925095982824944e-07
40,0.00012941640147976104
124,0.0009407387151214808
32,0.0032093353082164565
28,0.0003254997487274657
7,5.515030613515812e-07
13,4.095127618484916e-05
22,7.902063656503362e-05
4,6.226458336052396e-06
43,0.0019474552920097758
13,7.104196220816704e-05
15,8.047267742247964e-07
0,0.0
1,0.0
50,0.00011249617887374667
0,0.0
0,0.0
0,1.6637144492054916e-07
8,5.630737959230649e-05
2,2.870509316700605e-07
0,9.511907354835666e-07
17,7.672439464194507e-06
0,0.0
3,6.698460644223083e-07
7,0.0001607526135678669
0,1.6955116066424486e-05
14,0.00012701884989442684
0,0.0
1,0.0
62,0.00012051157260830165
0,0.0
3,0.0
0,3.693498272820953e-08
2,0.0
14,1.0642433569202563e-05
4,0.0
244,0.00495611247776277
3,1.2668397910375145e-08
13,5.8784957675751016e-05
14,2.020642925595387e-05
6,9.491780637332973e-06
0,0.0
0,8.785474446160792e-05
0,0.0
1,0.0
2,0.0
0,1.5659563348271426e-06
0,0.0
148,0.005018591220452022
52,2.872361640725936e-05
0,2.0130082154523478e-08
8,5.459174942200206e-05
11,1.2383078706330517e-06
1,0.0
44,0.00011821384762807984
0,8.269880985499112e-05
0,0.0
0,0.0
0,0.0
1,0.0
0,1.5003362108505785e-06
16,1.2132562998696406e-05
0,0.0
5,1.4291742415893827e-05
1,0.0
34,0.00020716278562185532
0,1.086849493279176e-05
0,0.0
4,5.309906265079133e-05
1,0.0
30,3.5774133163150435e-05
19,2.311264655633376e-06
12,9.795473819770701e-05
10,5.3462066072789706e-05
0,0.0
13,1.7061488163301805e-06
0,0.0
25,0.00028208150586613885
24,2.2451890967296024e-05
0,0.0
1,0.0
36,7.98398758783258e-05
4,3.688301989436991e-10
16,6.046589975710987e-05
42,0.0001353535021760047
0,0.0
44,5.274812941396153e-05
5,5.9587253366648773e-08
23,2.258543261033807e-05
7,3.5788300063070475e-06
0,6.810417267616498e-08
8,3.728741024919376e-06
0,0.0
2,9.950697635768138e-08
1,0.0
11,5.318738802070984e-05
2,0.0
10,4.79573530860011e-06
4,1.0372264317834765e-07
10,6.099838406380442e-06
1,0.0
1,0.0
0,0.0
1,0.0
8,2.5920743355083853e-06
3,1.5091802914940626e-07
6,5.430677776467656e-08
0,0.0
1,1.922390081600808e-08
0,0.0018696176859339996
9,6.186524869892359e-05
8,5.82073146205302e-07
9,9.841768107767078e-07
0,1.2390776724373557e-08
5,3.3639094172344823e-06
0,5.101340662569751e-06
5,0.00010616151736409009
1,0.0
72,8.150072919320804e-05
4,6.822584393929546e-08
9,0.00017219201545535222
96,0.0008857810321599405
1,0.0
45,0.00028347068505894595
49,0.0001352877177108955
24,6.567326014560142e-05
0,0.0
0,0.0
1,0.0
3,4.16096093493951e-07
7,4.380454418697377e-07
9,1.876105931723171e-05
8,4.512839106246606e-07
9,2.9067862660814454e-05
22,0.00019046280134863797
58,0.0004599105470396723
0,0.0
0,0.0
1,0.0
1,0.0
0,0.0
0,0.0
0,0.0
1,0.0
0,1.1402203931531691e-05
17,4.026720854386592e-05
4,2.885923746755303e-07
0,3.012240605905154e-07
12,2.708408236781345e-07
0,0.0
17,5.041149712612631e-06
67,0.0003770919662501863
1,0.0
4,5.32118787111527e-05
53,0.00043043927981149685
0,0.0
0,0.0
0,0.0
72,0.00015190926699550094
22,0.0001312056693272604
34,0.005781431048669418
0,2.4921801192176524e-05
17,5.564410121183941e-05
5,8.476561037648587e-07
0,5.837985591201258e-10
0,0.0
2,4.6706680004104986e-08
13,1.8274706784616447e-07
18,6.385982896275041e-05
0,4.893931993637604e-07
0,2.222248284087916e-09
65,0.0003060827365056868
6,0.00010863247246924684
1,0.0
41,0.0002556458365092854
8,6.72191010252649e-05
0,1.1843283079048788e-05
2,1.9229550554215556e-08
12,0.00014248929139444586
74,0.0003846384683232913
0,0.0
42,2.876212638369077e-05
2,5.581218690413966e-06
2,0.0
0,3.0792066400209704e-08
0,0.0001711969774323871
6,1.2279765631402229e-08
0,0.0
1,0.0
9,5.722599190073695e-07
32,1.6327731942225055e-05
33,4.927851551792001e-05
25,6.543489810753707e-06
4,0.00010810944786495537
2,1.4340051160035944e-08
10,2.7458090963312157e-06
2,8.944291784483098e-08
35,1.5855914538858354e-06
0,0.0
5,2.0617587527122046e-05
10,0.00028643692906052637
32,0.0003337299512588832
0,0.0
15,6.409675072765205e-06
1,0.0
9,8.734177290727012e-07
1,0.0
10,1.1665739405384988e-07
0,0.0
35,4.87442586351415e-05
