in_degree_original,out_degree_original
0,1
7538,39
1,136
3,4
590,0
2126,44
10,1
1830,0
92,3
1629,64
103,19
4326,7
142,5
2076,690
1254,15
5893,7
453,29
6425,37
371,44
180,130
14,4
182,16
154,31
5162,1
3334,0
1903,0
23,4
634,16
1,19
609,51
3130,160
3353,145
27,0
422,32
2882,104
1783,64
1392,16
3,21
913,0
157,8
808,18
2124,31
891,23
1538,44
12106,92
142,109
2474,270
498,13
2871,49
3767,68
160,0
19,95
30,23
7852,32
3028,0
6739,15
1142,39
6334,62
327,27
4513,11
3550,12
2997,65
60,54
10895,1
29,141
1031,3
7,1
2896,27
120,2
1106,65
5052,405
951,48
1115,11
1127,3
4,2
644,11
5,9
1521,90
1886,32
2178,10
609,21
3907,63
1244,32
4353,38
2382,0
796,15
637,154
1894,45
103,2
8639,36
3895,0
3937,2
1086,27
1219,214
2836,3
1701,41
209,81
3512,11
233,36
716,60
15,20
467,133
1402,167
78,5
1627,48
197,2
1317,20
1960,19
5533,8
479,36
2153,13
84,6
37542,61
7357,0
598,118
330,5
1917,11
1307,38
2925,15
3,2
263,10
531,5
77,10
368,22
16,2
905,33
1089,11
5565,53
12675,4
209,19
62,25
811,94
77,8
309,1
1187,3
3149,32
206,8
49,7
0,19
407,0
2019,6
121,0
845,26
1122,28
1152,0
277,3
369,7
2383,59
872,56
649,3
1261,14
650,30
419,2
1069,8
1027,24
117,47
1066,67
0,1
820,2
0,2
8220,104
1027,398
0,34
3,16
589,170
171,47
128,0
5,1
1548,0
1396,0
1476,1
154,15
1020,11
5,10
347,22
539,1
891,8
1286,5
5228,13
930,34
9476,33
1223,2
2154,0
2230,1
257,39
1091,89
1225,0
6221,9
155,2
1169,0
1035,0
2148,11
82,3
0,29
3344,0
456,3
280,3
219,0
10,0
566,3
991,4
334,0
1477,0
453,0
623,3
1,3
1099,23
1141,2
626,4
725,1
913,5
458,1
5661,16
2290,9
447,1
2751,7
107,11
362,5
1133,31
3037,62
1,42
9,6
246,1
702,0
565,33
406,1
2250,0
178,2
751,3
837,0
977,1
16,0
4540,4
491,0
299,4
236,15
1856,0
7791,8
37,0
3554,12
1762,0
1325,5
2165,10
1048,14
2103,26
962,30
177,3
231,17
266,0
839,0
750,2
116,0
0,2
32,5
0,3
467,4
1624,16
0,4
753,1
323,29
0,1
232,0
0,10
472,1
10,1
482,10
378,0
33,3
330,1
0,1
1,4
17,6
7037,15
1652,26
0,3
1,2
5,3
0,1
0,1
76,0
0,1
0,1
966,1
0,2
1637,1
0,16
455,23
3571,0
1030,1
4799,37
295,10
1702,14
850,83
0,1
6459,38
0,1
170,8
0,2
0,5
1731,37
1189,16
1128,0
0,2
160,1
0,4
1807,46
1252,41
63,1
0,1
10,0
0,1
62,19
0,2
0,2
65,0
654,3
0,3
24,4
0,11
1263,0
1894,1
1052,14
503,3
0,1
0,1
13,3
0,1
1,0
0,3
16,0
0,3
432,0
1,1
0,12
293,2
45,1
911,5
28,1
290,15
1,6
86,1
1719,22
3,1
24,0
0,13
1108,50
182,13
703,23
4924,10
959,7
369,12
237,11
84,1
244,3
1041,37
917,20
1259,1
435,9
0,1
16,27
0,2
12,0
7,39
383,7
8,0
200,8
90,3
6,50
11,0
124,29
50,77
70,0
42,4
74,26
112,39
6,8
174,1
51,0
4,30
43,29
134,26
2218,20
245,70
2276,2
659,53
1976,42
263,19
585,91
42,31
42,3
125,9
507,0
0,9
145,0
107,30
506,0
0,23
2970,72
374,97
6212,895
7629,252
11625,9
1030,365
1114,6
359,10
6329,23
825,67
20,98
1974,3
5100,47
3247,1
8406,75
4065,125
2815,183
9702,8
11021,0
2000,131
0,1
5,0
0,1
1,1
0,1
0,1
2038,6
0,9
5860,59
1625,190
1899,42
4,2
2305,122
5374,11
7137,164
2434,24
4739,1270
0,1
32,2
18,16
2190,18
513,23
2000,43
666,32
947,53
1106,21
5506,76
322,5
683,318
106,26
0,2
1647,0
1,10
4033,44
1270,1
0,2
164,6
0,12
11,2
1,5
294,0
74,3
426,4
24,0
11473,5
636,0
63,5
0,1
732,2
15,2
0,1
144,3
4,3
924,10
161,2
4,209
397,662
2264,16
3179,103
1074,61
888,26
8933,2479
7911,45
6950,0
3124,36
3472,165
6,221
69,2
1717,149
1395,315
1007,449
790,9
3008,40
571,64
4295,16
481,730
9311,16
2543,66
126,1717
1494,43
5717,62
2970,76
1039,0
4264,60
2931,22
3003,3
5991,5
845,853
971,9
1607,120
690,71
6410,37
8505,147
468,89
1366,144
1189,455
1793,216
5256,0
1916,58
1063,23
262,57
570,388
1665,1097
10609,572
196,76
2324,5
2204,174
3740,25
10350,0
3603,659
3137,20
847,7
594,179
553,0
506,39
949,112
1510,3
2448,143
596,298
10624,717
6574,31
1055,123
3201,485
3866,52
615,87
3885,413
7510,26
6573,134
1516,263
1667,89
911,321
467,249
4489,12
2691,518
3079,391
530,117
80,34
2046,699
161,10
7881,0
980,121
4134,5
299,48
79,0
108,9
1336,185
573,24
281,23
4962,22
3359,58
43,493
1331,74
609,39
1074,0
2869,349
827,3
119,0
1944,111
11294,82
4181,968
6475,1260
721,40
1504,90
1617,199
3912,376
15126,0
3104,23
18,0
8028,522
15,0
2841,209
6247,5
9941,0
1892,52
3004,27
73,23
37,0
6066,4
5370,279
9303,418
505,115
1876,614
4102,9
198,231
490,0
49,17
24,59
1450,849
5210,396
200,3
1689,824
1939,120
1593,203
176,0
6261,2
1221,10
12071,32
1259,19
445,3
1670,16
1066,19
9143,2
339,0
5140,149
7553,55
4454,52
5359,13
1317,47
1773,41
3964,48
3275,182
13407,1189
5356,15
5207,36
3720,11
105,250
3211,1414
118,49
1743,240
148,3
5710,0
239,208
2051,1502
4560,336
549,285
3687,92
12824,61
1267,271
6366,51
642,231
53,13
8330,123
6396,0
3324,10
4906,265
560,151
751,118
11740,501
3395,1471
1391,3
6451,107
694,671
315,56
2598,1
6619,404
924,644
224,0
521,1
9023,434
562,0
865,276
783,12
6,1
0,1
148,0
0,1
159,0
12,13
739,13
51,6
3777,10
133,0
759,5
2569,0
29,18
832,12
0,2
0,45
71,3
535,10
1135,20
702,304
122,28
1014,154
2201,192
24,52
2910,219
503,71
293,73
744,0
56,7
976,13
3402,5
177,13
1146,338
563,105
82,16
64,721
1377,124
277,7
31,22
52,121
2,0
3081,13
412,14
56,5
441,1
3738,110
617,0
552,51
374,19
3,44
610,58
29,26
71,48
132,5
33,51
18,5
209,15
106,42
897,1
