in_degree_group_A,out_degree_group_A
0,1
2,0
2,0
10,0
1,0
1,0
0,35
0,5
0,0
1,0
3,0
1,47
2,0
0,0
18,11
50,0
1,0
1,0
3,0
0,0
0,0
6,0
13,0
0,6
0,1
0,1
0,0
1,0
2,5
2,0
1,0
0,0
2,0
1,0
1,0
3,0
5,0
0,0
0,0
1,0
1,0
30,2
2,0
2,0
9,0
0,0
0,7
0,0
6,0
4,0
0,0
0,3
0,0
1,0
1,52
1,0
2,0
1,0
1,0
1,0
16,54
1,0
1,0
1,0
5,0
0,0
27,0
3,0
6,0
6,0
4,0
1,0
1,0
0,1
1,0
3,0
1,0
4,0
1,0
9,0
0,14
2,0
1,0
0,2
3,0
6,0
3,0
14,2
0,13
14,0
1,0
3,0
0,4
0,3
3,0
0,3
1,0
1,0
7,0
1,9
2,75
2,0
1,0
2,0
6,9
0,0
3,0
4,0
2,0
1,0
5,0
1,0
5,0
0,3
0,1
93,123
1,0
55,16
0,9
1,0
5,0
5,0
1,0
0,0
6,0
1,0
1,0
34,9
35,0
12,0
9,24
1,0
9,0
3,10
1,0
2,0
0,0
1,0
4,0
8,0
3,0
2,0
0,0
0,4
2,0
0,12
3,0
1,0
3,0
1,0
3,0
0,2
0,12
0,4
1,0
0,0
1,0
2,0
0,0
3,0
0,16
0,0
1,0
0,6
1,0
0,2
0,32
1,0
0,7
0,3
1,0
8,0
10,0
1,0
0,0
0,73
0,10
1,0
4,0
3,0
1,0
3,2
2,0
0,2
1,0
4,0
1,0
7,0
1,0
1,0
1,0
2,0
1,0
3,0
7,0
47,0
0,1
0,12
0,1
6,21
4,0
1,0
0,1
1,0
8,0
2,0
2,0
0,3
7,82
1,0
0,1
1,0
16,0
1,0
183,0
3,0
34,0
5,0
0,123
0,3
1,0
1,0
1,0
2,0
8,0
22,0
10,0
10,0
15,0
0,0
1,14
6,69
1,0
1,0
10,0
1,0
1,0
28,18
2,0
7,0
3,0
1,0
1,0
1,0
0,2
1,0
2,0
1,0
1,0
1,0
1,9
2,0
9,0
1,0
1,0
1,0
1,0
1,0
0,4
2,3
1,0
4,0
0,0
1,0
0,15
14,0
5,0
12,0
1,0
2,0
0,0
1,0
113,0
11,0
1,0
1,0
0,53
1,0
1,0
1,0
2,0
0,4
2,1
0,11
1,0
0,10
0,0
0,2
3,0
0,0
0,1
1,0
13,0
1,0
1,36
1,0
0,19
28,0
4,0
0,0
2,0
1,0
8,0
0,1
0,4
5,0
0,0
1,0
3,0
1,0
0,1
0,2
1,0
1,0
1,0
0,0
1,0
0,13
0,0
0,6
2,23
7,0
0,8
1,0
34,0
1,0
0,0
25,0
2,0
8,0
7,0
1,0
1,0
1,0
1,0
1,0
0,4
1,0
0,16
2,16
0,12
14,0
1,0
2,0
0,0
1,0
28,0
1,0
1,2
1,0
0,6
1,0
3,0
0,0
1,0
517,4
0,1
6,0
8,0
1,0
1,0
1,0
0,8
15,45
1,0
2,0
0,0
5,0
0,48
0,0
0,0
2,0
1,0
0,0
0,1
0,0
11,0
0,0
1,0
1,0
16,173
3,0
1,0
2,1
21,0
2,0
0,6
2,0
11,0
1,0
0,0
1,0
3,30
4,0
1,0
1,0
0,0
2,0
10,29
7,0
3,0
1,0
0,0
1,0
0,0
1,0
4,0
0,2
0,0
2,0
2,0
1,0
1,0
25,0
0,14
1,0
0,0
1,47
1,0
0,23
0,0
1,0
22,0
0,0
7,0
3,0
5,0
2,0
2,0
4,0
1,0
2,0
2,0
0,1
0,12
0,0
1,0
2,0
1,25
0,0
0,1
0,7
5,0
1,0
0,32
1,0
0,0
1,0
2,0
6,0
33,0
2,30
0,0
1,0
5,0
1,0
1,0
0,7
7,0
0,0
2,0
1,0
1,0
1,0
1,0
29,6
173,7
1,0
26,0
14,24
1,2
4,0
1,0
0,1
1,0
1,29
1,0
4,4
0,8
1,0
14,0
3,0
0,0
1,0
1,0
0,21
3,0
1,0
7,0
1,0
1,0
1,0
1,0
0,0
0,1
1,0
1,0
1,0
2,0
2,0
1,0
1,0
0,3
2,0
1,0
5,33
1,2
0,3
1,0
0,3
5,0
1,0
0,3
0,6
1,0
17,0
163,7
5,0
1,0
0,27
0,5
36,0
4,0
1,0
0,7
3,0
3,0
0,4
1,27
3,0
33,0
2,0
0,1
1,0
2,0
29,0
0,2
0,2
34,0
0,3
1,0
4,0
1,0
1,20
0,28
1,0
0,1
4,0
2,0
3,0
2,0
1,0
21,0
0,2
0,3
1,0
2,0
3,0
1,0
1,0
1,0
1,0
3,0
0,5
4,0
3,0
1,0
1,0
0,4
0,6
1,0
2,0
0,4
6,0
1,0
1,129
6,16
0,3
0,3
1,0
1,0
4,0
0,2
1,0
1,0
0,2
0,1
9,0
1,0
19,0
0,0
21,0
1,1
0,2
12,0
2,0
0,0
0,18
2,0
6,0
2,0
1,0
2,0
0,1
1,0
4,14
2,0
19,0
2,0
0,5
0,54
2,0
4,0
1,8
1,0
1,8
0,14
1,0
2,0
2,0
2,0
1,0
1,0
1,0
1,0
0,4
115,0
0,32
1,0
1,0
1,0
1,0
8,4
1,0
12,0
1,0
12,0
1,0
4,14
3,0
0,28
10,0
1,5
0,65
3,0
1,0
0,0
0,3
1,0
0,38
0,0
0,5
2,0
2,0
0,0
0,0
1,0
1,0
1,0
4,0
1,0
3,22
2,0
0,0
3,0
3,0
6,0
0,0
28,0
1,0
14,140
45,0
69,102
1,0
2,0
1,0
11,0
0,1
1,1
0,3
1,0
1,5
0,2
2,0
1,0
0,11
1,0
0,2
0,5
0,0
45,7
0,0
17,0
2,0
0,1
2,0
12,0
68,1
0,29
1,0
3,0
2,0
3,0
2,0
2,0
0,0
0,0
7,0
1,0
3,0
4,0
2,0
0,16
1,0
0,92
1,0
1,0
1,0
0,15
2,0
9,0
2,0
3,0
1,0
65,0
1,0
1,0
4,0
25,0
1,0
1,0
2,0
0,0
0,0
1,0
3,102
4,0
2,0
0,0
2,0
2,0
1,0
1,0
1,0
1,0
2,0
0,41
0,15
0,0
1,0
0,9
1,0
1,0
0,0
3,0
13,0
183,4
5,0
0,39
2,0
0,2
3,0
8,0
18,0
0,0
3,2
203,14
7,0
2,0
2,0
1,13
4,0
0,0
0,11
47,0
0,4
1,0
5,0
2,0
0,2
7,0
0,0
1,0
4,3
0,2
0,0
4,0
63,2
2,0
1,0
2,3
1,0
0,4
1,0
2,8
50,10
1,0
6,0
0,12
0,5
0,11
32,0
