in_degree_group_B,out_degree_group_B
1,0
1,0
3,5
10,59
11,0
0,3
0,2
2,0
1,5
3,29
22,0
74,2
2,0
10,29
6,0
0,11
0,139
0,3
23,169
5,26
6,4
0,6
0,11
0,20
1,0
59,113
1,0
149,0
1,0
0,2
3,6
1,13
0,5
2,0
1,0
23,0
2,0
218,0
18,0
0,1
106,9
1,0
206,0
17,0
3,0
0,0
1,0
4,0
14,53
5,64
0,1
0,57
0,2
2,0
7,13
0,13
1,0
3,0
6,0
0,0
5,2
1,0
0,9
0,1
0,0
0,2
0,0
1,9
18,0
1,0
1,0
0,5
0,5
1,13
10,1
0,1
2,0
1,26
0,2
5,0
39,1
1,0
2,4
32,0
0,2
0,2
2,0
13,0
0,16
0,2
0,1
2,0
8,9
0,16
0,8
0,23
0,2
0,1
10,88
0,9
1,0
3,0
1,0
12,2
1,0
0,4
3,3
4,0
1,0
6,0
0,12
5,0
6,0
0,44
1,0
5,0
1,36
7,0
1,0
0,1
3,8
0,3
85,147
0,9
0,9
1,122
3,0
0,16
0,6
0,21
0,1
1,0
0,12
0,0
0,6
0,31
0,9
0,21
1,0
0,1
1,0
36,0
0,71
5,0
1,0
5,0
17,0
76,41
4,0
1,0
1,0
29,9
0,2
1,0
141,0
0,34
0,7
26,0
0,21
0,160
1,0
6,0
1,0
13,0
1,147
2,0
0,1
20,38
83,0
2,0
254,7
0,5
0,9
1,0
37,0
9,0
0,4
1,0
0,1
0,6
0,9
2,0
5,168
19,0
2,0
2,0
1,1
0,0
9,0
1,16
3,26
0,0
24,39
0,6
1,0
2,0
3,0
1,0
1,1
1,0
10,0
9,0
1,0
1,0
2,0
67,4
1,0
1,0
1,0
0,7
1,0
0,12
0,0
10,20
49,168
2,0
0,3
2,0
5,6
0,9
0,4
2,0
0,28
5,3
1,0
7,0
3,0
1,10
3,19
0,4
1,10
2,0
42,0
10,0
1,22
2,95
1,0
0,0
0,1
3,0
5,0
1,0
3,0
0,7
4,0
2,0
5,2
6,0
3,0
1,4
0,2
1,0
0,4
13,0
0,34
1,0
2,0
0,13
14,0
1,0
0,87
3,0
7,11
1,26
2,1
1,0
0,17
0,17
1,0
73,0
1,0
0,7
0,0
0,0
1,0
0,211
1,0
0,0
1,0
2,0
1,71
1,0
2,0
3,0
8,30
5,0
3,0
0,6
1,0
75,12
1,22
1,0
2,75
1,0
4,0
2,107
1,8
14,0
2,0
4,21
1,0
20,106
0,41
0,68
4,0
1,0
33,0
0,1
2,0
2,183
81,0
1,1
0,31
1,0
2,2
1,0
0,4
87,92
0,1
0,2
0,0
2,0
0,9
0,0
0,168
11,27
0,52
0,142
0,0
4,0
0,10
4,0
2,3
0,6
219,74
3,0
67,40
5,0
0,10
0,0
1,0
0,2
1,0
0,36
1,2
0,11
1,50
1,1
83,0
0,1
27,0
9,20
7,43
7,0
37,0
135,0
1,15
1,28
4,0
0,7
10,0
7,1
5,0
18,0
0,3
1,0
0,0
16,0
20,205
1,0
0,5
28,0
3,29
0,134
0,11
2,0
2,0
0,1
0,19
2,0
1,0
0,2
11,0
0,2
2,0
1,1
0,14
2,0
10,2
0,10
1,0
2,0
1,0
6,3
2,0
6,0
3,18
2,0
3,0
0,0
1,0
1,47
1,0
25,0
26,9
0,21
0,1
1,123
1,14
1,0
0,3
69,0
7,0
0,0
0,7
0,7
0,1
1,0
2,0
0,1
37,0
0,9
10,8
233,169
0,2
32,12
2,0
2,0
0,1
2,0
0,6
5,25
27,0
1,4
0,16
0,2
0,1
3,0
14,0
2,24
10,0
6,0
36,16
0,3
0,17
63,0
0,1
1,0
2,0
0,8
0,5
2,3
24,0
0,5
10,128
5,1
1,5
1,0
3,10
347,0
0,4
0,10
0,1
0,0
0,1
0,1
2,0
0,3
27,0
1,2
1,0
2,0
0,73
2,0
2,0
1,34
2,0
0,2
7,0
12,0
0,1
98,2
2,0
0,22
1,0
2,0
2,0
7,79
0,1
24,0
0,46
0,2
