in_degree_original,out_degree_original
0,21
130,0
2,0
15,0
1,0
141,0
18,0
5,0
13,0
34,5
27,0
82,0
138,10
80,0
263,4
9,0
3,0
335,0
18,0
7,1
14,0
30,2
0,18
20,0
15,0
34,0
32,0
111,0
25,0
32,0
65,0
8,0
47,0
28,0
6,0
148,0
101,0
35,0
15,0
64,0
9,6
0,13
26,0
2,0
14,0
26,0
17,0
20,0
8,0
41,0
7,0
11,0
27,0
0,34
31,0
1030,14
185,0
1044,1
234,86
481,0
149,0
1602,5
503,58
225,0
189,16
326,0
181,0
140,96
1772,0
572,3
343,9
349,3
278,17
1797,0
554,19
36,0
189,0
535,0
25,0
903,9
113,56
368,11
241,0
56,0
636,0
2075,3
174,0
357,9
0,40
3,0
1,82
3,0
2,0
6,0
14,62
29,0
14,0
21,0
1,0
28,0
3,0
14,0
4,0
14,0
3,0
6,0
2,0
8,0
2,0
23,0
16,0
48,140
16,0
11,0
1,0
11,0
2,0
11,0
15,0
10,0
28,0
43,0
8,0
14,0
7,0
8,37
1,0
7,0
0,8
19,0
8,0
106,0
121,11
29,0
392,0
27,0
406,15
4,10
749,9
694,0
75,0
291,0
27,0
42,0
11,0
0,15
171,0
67,0
11,0
12,10
134,1
5,20
510,45
547,90
83,0
121,0
623,29
321,0
0,93
64,0
2,157
3,59
721,20
285,50
6,33
140,0
94,17
465,2
63,8
93,0
7,0
320,156
27,0
2,0
147,0
600,0
12,0
1216,0
6,1
714,0
146,0
106,0
195,0
299,32
287,0
78,0
887,0
603,1
35,63
25,120
140,8
146,0
33,140
277,32
97,47
175,69
521,10
15,0
22,91
544,0
275,17
8,66
3,4
9,1
363,116
128,40
635,29
148,0
874,2
265,23
294,0
14,0
224,23
137,0
750,2
433,30
223,108
77,4
74,59
255,31
231,0
1135,17
443,0
323,0
187,0
38,5
838,30
67,0
165,136
85,0
341,92
294,1
73,0
52,0
366,0
1330,36
426,0
392,0
220,10
81,0
231,21
22,92
6,0
0,7
70,0
37,0
199,1
70,0
49,0
0,5
421,0
115,5
185,0
277,1
132,0
0,3
94,0
5,0
0,29
261,0
1,0
13,23
784,4
124,50
295,15
13,5
77,0
11,0
42,3
45,0
35,0
68,0
24,0
44,0
3,0
118,0
3,0
111,65
1,0
3,0
164,0
4,4
4,0
33,13
39,11
1,0
145,38
170,0
0,6
74,17
61,0
495,12
212,4
54,0
0,1
3,0
0,10
96,53
972,44
305,0
91,130
177,1
9,0
328,22
0,1
9,45
89,0
15,0
478,0
685,6
251,0
211,0
33,23
329,3
79,0
67,30
963,64
644,1
296,0
66,0
16,0
250,99
333,0
693,13
31,0
25,4
169,0
19,40
10,18
157,0
283,1
71,6
361,5
36,0
212,9
38,0
7,0
3,66
92,39
81,0
29,0
30,0
14,20
75,0
1,0
107,0
176,0
2,3
98,0
111,0
1,0
46,22
90,52
42,0
6,0
53,0
38,0
137,0
18,3
1,0
24,7
14,0
59,0
36,0
1,0
13,0
2,0
115,0
85,0
102,1
1,0
28,4
27,0
77,0
18,0
182,0
128,0
1,0
135,0
1,0
66,0
199,27
66,0
189,0
8,0
110,65
55,0
1,0
36,0
1,0
480,2
38,0
251,0
6,0
2,0
85,0
18,0
176,13
0,16
87,0
15,0
17,0
113,0
59,0
337,201
145,0
212,11
22,125
43,142
129,11
39,0
116,0
118,45
0,2
69,149
104,44
0,1
309,1
0,32
171,101
14,134
124,0
194,3
217,0
75,0
159,0
4,0
75,0
10,32
27,0
744,0
13,0
26,0
26,0
152,103
2,0
584,0
17,0
0,20
79,0
129,17
33,0
398,1
56,8
321,8
115,0
43,0
19,0
16,0
7,0
71,0
60,0
88,0
31,0
152,0
0,4
0,147
3,0
23,19
5,0
105,100
29,68
13,0
581,0
3,7
3,0
15,0
13,35
66,25
36,48
107,0
106,0
1,38
93,0
56,48
29,51
23,17
11,99
46,141
3,310
124,0
6,0
12,0
179,0
12,0
11,0
18,0
67,0
4,0
171,0
149,0
186,35
70,0
12,0
3,0
39,0
1,0
19,41
237,5
10,0
7,0
29,2
7,0
180,0
15,0
10,0
3,0
11,0
197,39
548,1
8,26
158,0
328,0
67,61
25,31
17,8
256,9
17,0
9,0
8,0
32,9
7,1
1,0
61,0
106,0
71,0
22,0
15,86
278,20
110,0
67,0
3,0
2,0
39,40
40,85
66,67
286,0
199,0
7,46
10,0
10,0
7,0
115,33
236,5
169,18
717,79
257,3
21,26
8,0
354,10
46,0
46,0
65,52
171,105
142,0
15,0
64,0
29,0
2,0
31,0
117,0
4,58
500,0
7,0
574,3
166,0
115,2
37,1
32,0
197,0
10,0
16,0
16,0
2,0
218,0
33,0
51,54
33,0
2,0
0,2
10,0
15,0
0,15
41,0
3,0
235,8
8,0
173,5
88,0
4,0
86,0
21,0
68,2
9,0
129,0
1,0
481,0
0,10
1,0
9,0
10,0
10,0
8,0
20,0
4,0
16,0
85,0
23,0
0,8
10,0
2,0
36,0
187,0
174,0
20,0
7,0
5,0
0,1
0,2
23,0
0,3
36,78
0,32
2,0
53,0
1,0
97,0
21,0
4,0
213,0
117,5
26,0
48,0
1,0
7,0
32,0
62,0
17,0
73,13
192,0
0,37
334,13
8,0
31,16
18,0
20,38
21,0
8,128
13,0
25,0
6,0
63,0
84,24
139,2
49,0
23,54
38,0
4,0
293,4
12,0
8,0
319,0
6,0
31,28
34,0
517,1
15,0
3,0
26,0
0,7
409,0
394,3
76,22
120,62
0,2
2,7
15,0
531,0
4,0
232,0
2,2
176,0
0,9
33,10
397,19
230,2
364,0
0,43
3,0
12,67
12,0
103,0
165,0
184,0
8,0
37,0
11,0
236,35
229,0
4,0
81,2
39,1
618,4
1,0
140,0
73,0
257,0
228,52
12,0
31,1
122,0
22,6
8,0
262,18
3,0
14,0
3,0
84,3
5,0
5,4
1,71
18,51
5,0
344,2
23,0
5,0
1,0
139,21
38,0
14,0
20,0
55,0
7,0
6,0
7,0
11,0
6,0
66,0
11,0
172,0
41,0
20,0
22,4
3,17
5,0
19,0
7,0
16,0
5,0
146,5
28,0
1,0
21,0
5,0
14,0
12,0
7,0
35,0
70,0
32,0
8,0
32,0
23,0
3,0
13,0
50,0
11,0
10,51
26,0
42,0
2,0
5,1
43,0
41,41
43,0
6,0
0,13
240,1
38,0
98,14
0,14
7,4
16,0
49,0
84,0
172,10
0,16
181,65
41,153
43,0
73,0
102,110
0,14
70,0
571,3
393,1
813,4
88,59
17,40
191,0
114,98
8,75
208,84
339,212
322,0
10,0
19,0
403,0
29,44
2,0
37,26
21,99
48,6
12,0
110,0
5,25
6,0
5,0
58,10
0,1
0,1
7,0
0,130
25,1
129,0
75,0
2,0
39,0
48,0
55,0
55,10
70,0
5,0
14,0
33,0
68,0
197,0
122,0
5,0
39,0
69,0
48,0
25,0
2,0
101,0
65,0
75,0
2,0
1,0
27,23
114,0
199,0
34,0
3,0
142,0
38,0
109,2
12,0
12,0
142,7
49,0
61,0
6,0
3,0
49,6
180,0
59,0
20,2
244,0
11,0
68,0
31,0
68,0
137,0
33,0
252,9
133,2
43,0
126,136
35,0
7,0
109,0
1,1
3,0
109,0
250,9
12,0
186,19
66,0
68,0
152,0
48,0
32,0
17,0
34,0
54,0
20,0
59,4
109,0
11,0
11,0
162,1
20,0
334,0
22,0
10,16
0,72
14,0
9,55
273,46
52,0
35,13
10,0
31,13
7,15
216,0
19,0
16,4
51,0
110,0
23,0
50,0
31,1
29,221
18,0
362,46
64,0
1,0
27,0
300,2
43,125
68,0
588,6
51,0
221,58
3,0
153,10
321,0
270,31
79,14
3,0
244,0
23,0
118,0
163,0
490,8
258,7
0,35
6,0
150,0
175,2
7,0
132,0
61,0
22,0
3,0
41,0
4,0
6,0
3,0
11,0
88,0
257,0
1,0
93,0
121,0
10,0
0,32
10,0
12,0
1,0
2,0
73,2
4,0
40,0
15,0
3,0
18,0
3,0
3,0
75,13
1,0
4,0
68,4
5,0
40,24
3,0
151,18
1,0
15,2
102,0
1,0
187,0
96,0
42,2
2,0
2,0
0,7
255,6
88,1
0,1
0,15
23,0
3,0
13,0
11,0
82,0
13,0
13,0
86,0
1,22
18,0
4,0
9,0
93,2
44,0
19,0
6,0
195,0
68,0
47,0
7,0
43,0
171,0
1,0
8,4
42,0
17,6
14,0
1,44
61,0
62,0
11,16
157,0
27,204
6,0
6,0
104,0
65,2
3,0
33,0
14,17
4,0
1,0
26,0
13,0
15,0
4,0
116,0
21,11
35,7
6,0
21,0
32,176
19,0
46,139
0,14
37,118
3,0
95,0
80,0
161,0
0,15
58,0
139,1
219,6
106,0
120,17
175,0
0,7
14,0
47,0
57,20
4,0
0,1
393,0
0,51
40,0
34,0
50,0
52,0
20,0
110,3
18,0
38,0
167,5
28,1
6,0
5,0
173,3
101,0
24,14
55,3
72,0
14,0
154,0
39,7
36,0
0,6
96,0
209,26
1,9
1,0
85,0
39,0
1,0
0,2
0,19
8,0
77,0
84,0
61,0
60,0
86,0
0,4
32,37
0,14
1,0
1,0
1,0
1,0
1,0
1,0
1,0
37,6
6,0
1,0
13,0
0,1
0,28
17,66
97,7
1,0
29,0
4,0
29,0
65,8
2,0
44,0
0,17
1,0
18,0
1,0
3,0
167,0
42,0
4,0
1,0
164,14
10,2
10,0
2,0
4,0
0,12
45,8
50,0
73,3
0,1
0,62
2,23
99,0
125,19
33,0
113,0
43,0
88,0
54,0
19,0
41,0
4,0
115,0
63,13
92,1
205,104
155,0
31,3
51,0
30,0
14,0
117,0
20,2
9,0
298,0
0,3
230,0
0,27
22,0
6,0
7,0
2,39
36,0
28,0
1,0
3,0
2,0
3,0
8,0
5,0
8,1
3,0
35,0
2,0
9,0
0,2
698,0
0,1
0,14
4,0
37,0
23,0
29,0
54,8
88,65
67,9
122,0
12,0
0,2
153,0
0,4
331,2
277,7
351,0
0,261
217,1
84,6
46,0
10,0
46,13
41,0
4,0
62,11
249,1
5,24
17,0
21,0
19,0
5,16
2,2
19,13
7,15
3,0
15,2
12,0
2,0
2,0
47,19
11,0
44,12
3,119
10,30
11,0
2,0
3,12
20,0
22,0
1,0
137,0
15,0
80,0
7,0
46,0
76,0
4,27
2,0
49,0
24,0
17,0
27,0
27,0
6,0
3,0
4,0
35,0
83,18
28,0
2,0
208,0
17,0
10,0
3,0
29,0
148,0
225,0
7,0
3,0
136,0
8,0
25,0
11,0
6,0
29,0
3,0
5,0
7,0
5,0
44,0
84,0
8,0
9,0
9,0
36,0
23,43
10,0
5,0
21,0
5,0
18,0
78,0
2,0
2,0
7,0
372,2
15,0
40,0
12,0
3,0
19,0
87,4
20,5
4,0
6,0
10,0
7,0
116,4
4,0
1,0
9,0
28,0
65,0
19,0
8,0
16,0
136,18
4,0
1,0
2,0
28,0
146,33
14,9
1,0
15,2
3,0
54,8
4,0
54,0
26,0
5,0
16,0
5,0
58,31
8,54
12,0
54,0
164,0
4,0
2,2
2,0
4,0
14,0
20,60
18,0
3,0
20,52
2,0
2,40
7,0
73,0
4,0
24,0
1,0
177,15
16,0
11,0
4,0
68,0
80,25
120,18
1,0
30,0
2,0
22,29
12,0
2,0
3,0
51,0
6,0
10,0
4,0
6,8
1,0
27,0
92,0
13,0
15,0
7,0
60,0
88,0
0,3
0,13
95,130
120,0
71,187
1,0
0,17
56,4
9,0
105,52
23,0
0,14
18,3
20,0
7,0
20,0
4,0
10,0
14,0
2,0
5,8
9,0
1,0
4,0
6,0
1,0
0,8
12,0
19,0
67,0
5,0
6,0
0,1
0,1
43,0
0,2
0,163
17,0
1,0
54,0
4,0
1,0
1,0
2,0
7,0
2,0
4,0
14,12
1,0
15,0
11,0
103,0
7,0
2,0
4,0
2,0
4,0
4,0
12,2
2,0
46,0
1,0
7,0
3,0
1,0
1,0
6,0
4,0
2,0
3,0
8,0
1,0
6,0
11,0
5,0
8,0
1,0
52,0
6,0
110,8
4,3
54,0
6,0
69,0
4,0
2,0
27,0
6,0
13,17
1,0
119,0
20,0
68,2
67,1
5,0
6,0
18,0
21,4
3,0
4,0
164,8
13,0
2,0
1,0
4,0
1,0
4,0
35,7
52,0
3,0
12,0
7,0
1,0
15,16
1,0
4,0
11,2
1,0
6,0
5,1
3,0
1,0
7,0
196,45
41,18
13,0
2,0
2,0
19,0
79,0
1,0
1,0
6,0
11,0
2,0
8,0
1,0
6,0
2,0
1,0
9,0
29,0
11,0
9,0
24,0
2,0
6,0
82,0
0,53
9,0
47,0
7,0
45,0
35,0
136,0
14,0
20,0
15,0
10,0
309,28
147,9
21,0
49,0
176,0
1,9
1,0
4,0
1,0
15,0
0,11
64,0
179,0
0,1
1,0
0,45
35,0
10,1
72,0
187,0
123,0
10,0
246,0
245,3
171,0
189,2
9,0
123,0
141,32
437,7
34,0
176,19
1,0
0,8
59,0
0,1
2,0
5,16
33,0
73,0
18,0
3,0
0,9
0,5
2,0
35,0
0,1
126,2
1,35
