date_store,mod_weighted_file,random_mod_weighted_file
2-01,0.39324303000606264,"[0.06471277064006839, 0.018603260553613055, 0.018603260553613055, 0.06471277064006839, 0.041658015596840764, 0.08200383692248911, 0.0762401481616822, 0.04742170435764767, 0.06471277064006839, 0.0762401481616822]"
02,0.2891562803748162,"[0.044079693941555795, 0.013445120637398264, 0.022197855867157557, 0.05720879678619477, 0.044079693941555795, -0.012813085051879614, 0.0003160177927593044, 0.013445120637398264, 0.035326958711796516, 0.03970332632667618]"
03,0.3371644448502556,"[0.022975255661066382, 0.06351579620160694, 0.01621849890430971, 0.053380661066471824, 0.009461742147552937, 0.06351579620160694, -0.0006733929875821776, 0.06351579620160694, 0.03648876917457994, 0.029732012417823153]"
04,0.33676657101489393,"[0.004077983007156963, 0.035025758635783666, 0.05436811840367535, 0.0466311744965187, 0.04276270254294043, 0.0466311744965187, 0.023420342775048647, 0.019551870821470377, 0.04276270254294043, 0.019551870821470377]"
05,0.3305092147785833,"[0.04639706524587309, 0.020228840946807616, 0.07256528954493845, 0.06508865403091982, 0.06135033627391044, 0.04265874748886371, 0.04639706524587309, 0.06135033627391044, 0.04639706524587309, 0.053873700759891716]"
06,0.4245674488582592,"[0.07973986265136265, 0.05018321240505719, 0.04525710403067296, 0.035404887281904496, 0.0748137542769784, 0.025552670533136007, 0.040330995656288726, 0.0748137542769784, 0.1142226212720523, 0.040330995656288726]"
07,0.4177937447168216,"[0.033178360101437016, 0.055156382079459026, 0.016694843617920563, 0.0606508875739645, 0.07713440405748101, 0.09361792054099746, 0.1046069315300085, 0.1046069315300085, 0.08262890955198651, 0.049661876584953524]"
08,0.3527498332465302,"[0.05257531317672212, 0.03512330619591936, 0.07002732015752494, 0.01767129921511655, 0.08398892574216718, 0.04210410898824046, 0.056065714572882674, 0.04210410898824046, 0.06304651736520381, 0.07002732015752494]"
09,0.41712686120097153,"[0.10029517803265475, 0.04748989750460189, 0.08709385790064153, 0.08049319783463493, 0.04748989750460189, 0.07389253776862828, 0.10689583809866132, 0.054090557570608544, 0.07389253776862828, 0.060691217636615113]"
10,0.36585,"[0.05584999999999998, 0.06584999999999999, 0.09584999999999996, 0.08585000000000001, 0.040850000000000025, 0.020850000000000007, 0.025850000000000012, 0.05084999999999998, 0.07085, 0.05584999999999998]"
11,0.3018957475744107,"[0.04811931252909346, 0.008844388057794361, 0.045098164492839626, 0.036034720384078345, 0.005823240021540554, 0.06020390467410858, 0.02999242431157076, 0.026971276275317008, 0.06926734878286986, 0.039055868420332124]"
12,0.3611564742450713,"[0.04777382461494356, 0.05718875400297316, 0.05584376409039746, 0.04642883470236789, 0.06525869347842705, 0.034996420445474796, 0.05718875400297316, 0.0605512287844123, 0.06122372374070012, 0.0511362993963827]"
13,0.3844942673650379,"[0.0536255058123577, 0.05054479108654131, 0.04992864814137801, 0.06779679355111312, 0.06286764998980687, 0.053009362867194404, 0.06594836471562326, 0.06841293649627636, 0.06163536409948034, 0.05054479108654131]"
14,0.38742388802257366,"[0.05782189797282247, 0.0540905546892404, 0.04538408702754884, 0.05782189797282247, 0.06404080344545929, 0.047871649216603585, 0.07647861439073292, 0.035433838271329954, 0.06777214672904133, 0.05782189797282247]"
15,0.3655199142174814,"[0.047130161244013924, 0.05261963974355646, 0.0562792920765848, 0.06359859674264157, 0.08555651074081175, 0.043470508910985584, 0.043470508910985584, 0.07091790140869828, 0.06725824907566993, 0.03066172574538631]"
16,0.3753873158540276,"[0.07108742610761089, 0.04683163779449066, 0.04903670945931983, 0.07990771276692733, 0.06226713944829444, 0.06447221111312355, 0.053446852788978025, 0.07990771276692733, 0.04683163779449066, 0.06226713944829444]"
17,0.4067948520453176,"[0.06733233436497821, 0.08430546024899518, 0.08147660593499231, 0.08996316887700084, 0.05601691710896686, 0.04470149985295557, 0.06167462573697255, 0.04187264553895276, 0.08996316887700084, 0.08147660593499231]"
18,0.3883941210253423,"[0.046850607068035316, 0.05670282381680378, 0.0764072573143407, 0.07312318506475121, 0.046850607068035316, 0.09939576306146714, 0.0501346793176248, 0.04028246256885634, 0.09282761856228816, 0.09939576306146714]"
19,0.3693737985555627,"[0.08999464112762477, 0.04786603802341184, 0.05451792272407706, 0.04786603802341184, 0.05451792272407706, 0.05230062782385535, 0.04343144822296842, 0.05895251252452051, 0.06116980742474222, 0.04786603802341184]"
20,0.3666522929899191,"[0.03535458306625494, 0.04298817085251447, 0.067415651768545, 0.07657595711205645, 0.04298817085251447, 0.04909504108152207, 0.05214847619602592, 0.05978206398228547, 0.05672862886778163, 0.06283549909678929]"
21,0.3729401236443052,"[0.05660774542080943, 0.057753877225967004, 0.08755330416006443, 0.04285416375891832, 0.07150745888785812, 0.049730954589863846, 0.04743869097954867, 0.054315481810494254, 0.057753877225967004, 0.057753877225967004]"
22,0.39195268341005773,"[0.06752520249402719, 0.05760153837188983, 0.07057863760853098, 0.061418332265019554, 0.06828856127265312, 0.06599848493677526, 0.0644717673795234, 0.06294504982227148, 0.07210535516578295, 0.061418332265019554]"
23,0.4024612052584685,"[0.06649728192137722, 0.05860551191010327, 0.06424249048958469, 0.07551644764854745, 0.0732616562167549, 0.07438905193265116, 0.06875207335316977, 0.05635072047831072, 0.07889863479623632, 0.0552233247624144]"
24,0.4076880368586904,"[0.06791347969282885, 0.06236687028148513, 0.06290363893419582, 0.06522963642927543, 0.07489147217806769, 0.06934486276672397, 0.07184978314604051, 0.06934486276672397, 0.07184978314604051, 0.06648209661893367]"
25,0.39608707647130326,"[0.06198921714408623, 0.06504732111962142, 0.0635182691318538, 0.0638240795294073, 0.06153050154775597, 0.061836311945309475, 0.0635182691318538, 0.06458860552329115, 0.060001449559988346, 0.0644357003245144]"
26,0.3907869282594804,"[0.06294021601165403, 0.06597895999747319, 0.06260257779100745, 0.06378431156327047, 0.061927301349714275, 0.05804446181227865, 0.0658101408871499, 0.06462840711488693, 0.06682305554908965, 0.06749833199038283]"
27,0.3794641333934091,"[0.06427290579244627, 0.06173211948594717, 0.0628019242465784, 0.06480780817276188, 0.06721486888418204, 0.0696219295956022, 0.06440663138752514, 0.05972623555976375, 0.06347055222197287, 0.05464466294676562]"
