in_degree_group_A,out_degree_group_A
0,1
6827,39
1,134
3,4
562,0
2030,43
10,1
1668,0
91,3
1607,64
99,19
4292,7
142,5
2040,679
1228,13
5851,7
444,29
5765,36
365,43
172,129
13,4
180,16
135,31
5053,1
3167,0
1665,0
12,3
623,16
1,16
601,51
2486,143
3123,143
27,0
409,32
2798,104
1738,63
1286,16
3,21
884,0
154,8
804,18
2118,31
871,23
1487,44
11514,83
136,108
2448,264
474,12
1507,42
3604,68
158,0
18,95
27,22
7702,31
2914,0
6617,14
1130,39
6094,59
307,25
4379,11
3450,11
2879,64
56,54
6216,1
28,140
793,3
2772,27
116,2
1025,59
4985,401
929,48
1068,11
968,3
4,2
606,11
5,9
1461,84
1701,32
2103,10
418,17
3793,63
1142,32
2996,37
1913,0
777,15
625,153
1473,44
98,2
8151,35
3729,0
3865,2
1064,27
1192,207
2624,3
1680,40
206,81
3438,10
232,35
662,58
14,20
437,129
1190,154
74,5
195,2
1273,19
1923,19
5436,8
468,36
2034,13
80,6
36835,60
7272,0
508,117
318,5
1898,11
1249,38
2901,15
3,2
261,10
529,5
73,9
352,22
10,2
892,33
1069,11
5440,53
12342,4
206,19
62,25
790,92
76,3
272,1
1079,3
3088,32
128,8
49,7
0,19
404,0
2014,6
120,0
844,26
1116,28
1149,0
276,3
368,7
2378,58
863,56
641,3
1210,14
646,30
418,2
1063,8
1023,24
109,41
1063,67
0,1
815,2
0,34
3,16
588,169
170,47
115,0
5,1
1545,0
1390,0
1456,1
150,15
1015,11
5,10
345,22
535,1
888,8
1272,5
5188,13
891,32
7018,33
1204,2
2148,0
2223,1
254,39
1078,87
1216,0
6167,9
155,2
1155,0
1024,0
2139,11
82,3
0,29
3335,0
454,3
274,3
216,0
10,0
563,3
985,4
333,0
1463,0
451,0
617,3
1,3
1097,23
1140,2
624,4
725,1
906,5
457,1
5502,16
2267,9
447,1
2751,7
105,11
361,5
1128,31
3032,62
1,42
8,6
239,1
702,0
564,33
405,1
2221,0
178,2
749,3
837,0
953,1
16,0
4463,4
490,0
297,4
236,15
1848,0
7730,8
34,0
3545,12
1757,0
1318,5
2141,10
1037,14
2078,26
955,30
174,3
230,17
266,0
834,0
743,2
116,0
0,2
32,5
0,3
463,4
1619,16
0,4
753,1
319,27
0,1
230,0
0,10
467,1
10,1
482,10
376,0
33,3
321,1
0,1
1,4
17,5
4985,15
1641,25
0,3
1,2
5,3
0,1
0,1
76,0
0,1
0,1
752,1
0,2
1637,1
0,16
451,23
3239,0
1026,1
4441,37
294,10
1698,14
845,83
0,1
167,8
0,2
0,5
1670,37
1147,16
1109,0
0,2
158,1
0,4
1767,45
1211,41
62,1
0,1
9,0
0,1
60,19
0,2
0,2
65,0
652,3
0,3
24,4
0,11
1261,0
1880,1
1052,14
499,1
0,1
0,1
13,3
0,3
16,0
0,3
431,0
1,1
0,12
292,2
44,1
911,5
27,1
280,15
1,6
86,0
1709,20
3,1
22,0
0,13
1087,50
180,13
697,21
4553,10
943,6
369,12
234,11
81,1
243,3
1012,36
905,20
1229,1
425,9
0,1
16,27
0,2
12,0
7,38
375,7
8,0
195,8
86,3
6,49
11,0
119,29
48,77
69,0
41,4
65,26
107,38
6,8
171,1
49,0
4,30
43,28
127,26
2187,20
239,70
579,47
1954,42
245,19
562,86
41,31
39,3
123,9
310,0
0,9
145,0
87,26
505,0
3150,63
0,1
5,0
0,1
1,1
0,1
0,1
1830,3
3,2
5230,11
0,1
31,2
17,15
500,22
1921,43
659,32
926,51
1096,21
4952,74
304,5
635,301
106,26
0,2
1627,0
1,10
3908,44
1265,1
0,2
156,6
0,12
11,2
1,5
294,0
72,3
425,4
24,0
8128,5
631,0
62,5
0,1
723,2
0,1
144,3
4,3
919,10
161,2
1219,13
44,2
4139,0
2823,4
2553,9
3396,2
1165,10
696,19
5,0
0,1
148,0
0,1
157,0
12,13
738,12
51,6
3045,10
76,0
753,5
2317,0
27,17
828,11
0,2
0,42
70,3
299,8
1073,19
683,297
121,27
902,147
2154,188
24,46
1878,203
341,64
284,73
740,0
56,7
943,8
3311,5
175,13
1129,331
541,104
81,16
1314,123
277,7
31,21
50,118
