in_degree_group_B,out_degree_group_B
2,1
10,11
0,1
0,3
0,6
0,1
0,1
0,1
0,7
105,146
113,42
2,53
0,1
6,27
0,1
1,0
0,4
1,0
0,41
0,1
117,158
0,1
0,1
11,140
3,0
1,0
0,1
0,2
0,1
0,3
0,15
0,1
0,1
0,1
2,36
0,1
0,34
0,5
0,78
48,89
426,3
0,190
0,27
0,3
0,27
3,2
0,1
1,0
5,16
0,3
0,17
1,7
2,65
0,1
0,2
1,5
1,1
728,299
3,0
66,43
0,1
0,4
0,1
0,1
0,33
0,2
0,1
0,1
286,136
1,1
0,1
0,1
0,25
1,9
0,1
4,26
0,1
163,146
0,1
0,15
196,304
0,44
6,109
5,26
0,4
0,27
6,23
1,0
0,1
0,2
0,2
15,23
0,1
2,0
15,5
0,23
1201,46
2,70
14,74
0,2
1009,120
91,5
0,1
0,15
0,1
0,1
1,3
0,14
0,1
0,2
2,137
0,3
1,53
2,92
0,1
1,0
0,13
50,321
2,11
0,1
0,3
1,1
0,1
0,1
1,1
26,0
2,2
2,1
4,0
4,5
0,1
14,6
2,4
0,2
1,233
1,0
0,2
0,1
0,6
0,2
37,0
0,3
20,0
0,5
0,2
0,1
0,1
0,2
0,1
0,2
0,7
0,9
0,1
14,97
1,0
0,2
0,1
1,7
200,3
0,2
67,14
4,0
0,2
0,43
0,1
0,1
2,0
28,8
2,0
0,1
0,1
2,0
6,0
0,2
0,1
0,1
0,4
0,2
0,1
31,501
7,0
0,1
0,12
1,35
0,20
3,0
0,1
0,2
0,1
3,33
2,12
2,0
0,1
0,1
0,1
0,1
0,1
0,5
0,7
0,38
10216,8
0,5
2,68
0,2
0,4
0,1
0,72
0,2
0,1
262,661
0,3
2,25
9,18
33,163
51,22
1,17
477,1188
8,61
0,1
1,7
0,7
0,13
0,5
0,1
0,1
0,14
0,1
0,1
1,0
0,15
2,222
0,6
0,1
20,0
0,1
0,3
0,43
0,1
0,2
0,12
0,1
1,2
1,0
0,14
16,19
0,2
0,3
0,1
177,2
0,6
0,2
0,127
1,0
0,1
0,3
0,1
0,2
0,1
26,8
1,0
0,148
0,1
0,1
13,30
0,1
0,3
0,4
0,2
0,1
0,5
5,0
0,3
0,2
0,83
0,1
59,180
0,1
1,6
13,3
0,1
3,3
9,3
0,7
0,1
1,7
0,1
0,1
0,4
53,2
0,36
3,6
0,17
0,1
5,0
1,17
0,1
0,1
1,0
2,2
0,1
1,34
7,1
1,0
0,1
1,0
0,1
0,1
0,1
76,568
280,23
0,4
0,21
0,1
0,14
1,239
0,1
0,1
0,12
5,4
0,3
0,1
0,1
1,3
0,2
18,21
0,1
0,38
2,14
0,17
0,9
0,6
0,5
2,11
0,1
8,0
0,2
16,0
0,1
0,1
0,5
1,67
3,0
0,1
