in_degree_group_A,out_degree_group_A
1,0
1,0
0,0
0,1
2,0
0,32
2,0
0,4
1,0
1,0
0,1
0,0
15,1
28,0
2,0
1,0
2,0
1,0
0,13
4,15
1,0
0,81
0,0
1,0
2,0
2,0
1,0
1,0
0,0
0,14
51,0
1,0
2,0
4,0
0,17
1,0
0,0
1,0
0,0
0,11
0,0
0,0
7,0
2,0
3,36
7,0
3,0
1,0
2,0
19,0
5,0
1,0
2,0
1,0
25,0
1,0
1,0
8,0
3,0
2,0
8,0
0,1
7,0
1,10
3,0
36,0
0,1
0,1
2,0
0,5
0,0
0,0
0,0
52,47
52,0
1,0
1,0
11,0
2,0
0,6
1,25
0,3
5,0
1,45
0,1
1,0
0,13
1,0
10,0
2,0
1,0
0,3
2,0
21,0
1,0
1,0
0,0
1,0
1,0
1,0
107,5
1,0
4,0
0,53
1,0
2,0
1,0
0,6
2,0
1,0
1,0
7,0
5,0
8,0
4,0
1,0
2,0
1,3
0,6
1,0
1,0
1,0
12,1
1,0
1,0
1,0
1,0
2,0
1,0
0,0
0,28
4,0
4,0
1,0
2,0
15,48
0,15
6,0
1,0
1,0
0,8
1,0
1,0
1,1
0,1
1,0
1,0
0,0
1,0
19,0
0,0
0,0
1,0
7,0
2,0
1,3
2,0
6,3
0,11
2,0
0,55
0,0
2,0
2,0
0,0
0,2
2,0
0,3
1,0
1,0
1,0
2,0
0,0
0,0
10,16
2,0
3,0
1,0
2,0
0,2
1,0
0,1
1,0
1,0
3,0
3,0
2,0
0,9
1,0
4,0
1,0
4,0
3,0
16,0
4,0
0,9
1,0
8,0
1,0
0,3
0,13
7,0
1,0
0,1
1,0
3,0
1,0
0,0
4,0
2,0
3,0
3,36
0,32
0,0
1,2
1,0
10,0
1,0
1,0
4,0
9,0
29,0
5,0
1,0
1,0
3,0
1,0
0,0
2,0
2,0
1,0
1,0
0,4
4,0
0,35
0,0
1,0
10,0
1,0
17,0
2,0
0,60
11,0
1,0
9,0
2,0
2,0
6,0
2,0
3,0
1,0
0,2
1,0
1,0
1,0
1,0
32,8
19,0
0,2
1,0
3,0
1,0
13,0
8,0
50,0
2,112
0,13
3,0
2,0
52,0
1,0
66,0
4,0
5,0
0,1
0,216
0,0
0,0
0,0
13,1
8,13
2,0
1,0
0,3
1,0
12,36
0,18
1,0
1,0
1,0
0,0
0,10
0,2
3,0
59,5
1,0
2,0
1,0
3,0
3,0
1,0
174,13
1,0
38,0
26,0
3,0
0,0
1,0
1,0
1,0
1,0
1,0
0,3
0,12
0,23
0,1
185,1
0,1
29,0
1,0
1,0
0,0
2,0
114,0
4,0
1,0
0,16
2,12
0,1
4,0
0,11
1,0
0,2
0,0
2,0
0,1
1,0
6,0
2,0
0,21
0,1
0,1
0,0
0,5
4,0
1,0
0,2
0,0
4,0
9,0
1,0
1,0
110,0
6,0
1,0
1,0
46,9
1,0
1,22
1,0
3,0
0,31
1,0
1,0
0,28
0,10
2,0
1,0
1,0
1,0
2,4
20,0
1,0
1,30
3,0
1,0
0,0
2,0
1,0
3,0
19,0
2,0
3,0
5,0
8,5
8,0
1,0
5,0
132,22
0,0
5,0
0,8
1,0
1,0
0,0
3,0
1,0
1,47
0,34
1,0
36,0
1,0
1,0
1,0
0,9
1,0
4,0
1,1
11,2
0,4
3,0
25,0
2,0
0,13
0,0
1,0
1,0
1,0
0,23
3,0
0,1
64,0
3,0
1,0
1,2
6,0
0,1
3,0
5,1
1,9
12,0
8,0
3,0
1,0
1,0
1,0
15,0
0,2
0,0
0,1
9,0
1,0
3,0
0,2
11,0
1,0
0,10
7,0
1,0
2,0
1,0
0,5
0,1
1,0
0,1
7,0
1,0
0,0
1,0
1,0
2,0
2,0
2,0
1,0
0,9
2,0
1,0
0,0
1,12
0,4
1,0
0,0
0,0
1,0
5,0
0,99
0,0
2,0
1,0
2,0
0,43
0,0
1,10
7,0
1,0
42,4
1,53
1,0
0,3
9,0
18,0
2,0
