in_degree_group_B,out_degree_group_B
0,52
0,2
0,2
0,1
1,0
3,0
1,0
14,0
12,0
5,2
0,16
0,13
4,0
4,8
27,124
81,24
8,0
3,0
5,0
0,2
0,4
41,81
678,1
1,0
0,8
3,0
1,0
9,0
8,0
0,22
0,8
2,124
0,28
6,0
6,0
1,0
8,7
0,12
2,0
0,1
81,14
1,0
1,0
0,2
72,0
4,0
0,10
0,37
1,53
0,10
2,0
0,2
3,102
0,131
5,0
1,10
5,0
1,0
22,0
8,0
0,2
3,0
7,0
190,2
0,7
0,0
27,0
16,0
2,0
13,0
0,103
101,0
0,1
0,4
6,0
2,0
3,0
3,0
0,0
23,1
0,89
1,0
0,19
0,6
0,4
135,0
1,0
1,7
5,0
0,12
1,0
0,4
2,0
20,0
0,1
83,0
1,0
19,1
1,0
2,0
0,11
2,0
29,0
3,0
1,0
1,40
5,0
4,15
1,0
7,0
0,3
1,0
1,0
1,0
0,0
5,28
3,1
0,7
3,87
0,27
0,16
0,3
1,0
8,0
0,1
4,0
0,4
7,6
1,0
2,0
2,0
18,0
0,38
0,0
0,13
0,23
2,2
9,0
1,0
0,8
3,0
11,13
0,12
1,0
32,0
8,0
0,118
0,0
1,50
8,0
0,1
15,1
1,0
2,0
28,5
1,0
3,19
87,0
2,134
7,18
2,15
1,0
0,0
0,1
47,5
1,0
1,0
1,0
21,1
20,27
0,85
1,0
1,0
7,8
11,0
3,0
1,0
0,5
0,29
1,0
0,1
15,51
0,1
1,1
69,0
0,3
2,0
6,23
1,0
0,0
6,0
0,3
13,13
2,6
0,5
4,0
4,0
7,0
4,0
0,0
1,0
0,1
0,7
12,10
6,0
17,0
35,1
0,1
3,0
0,10
0,3
38,18
0,2
1,0
16,0
0,0
0,1
0,4
1,0
2,0
0,0
2,0
4,0
0,2
0,5
9,0
0,1
1,0
1,0
0,2
10,0
4,0
3,7
1,0
1,1
1,26
0,1
3,0
23,0
5,0
9,165
0,90
1,0
0,1
6,0
3,0
0,1
0,0
1,19
0,10
4,12
7,0
2,5
4,0
0,102
60,0
10,0
1,0
0,30
1,0
1,1
0,2
3,0
1,19
5,9
2,0
3,0
2,0
94,0
1,0
0,8
0,10
1,14
5,0
1,0
1,0
3,0
0,66
0,17
1,0
1,0
1,0
1,0
32,0
2,0
1,15
0,0
122,0
0,19
0,24
1,8
0,7
5,0
0,1
0,5
0,7
1,0
1,0
2,0
0,3
33,0
11,0
5,0
0,16
1,0
2,0
2,0
0,21
0,20
1,0
2,42
0,53
8,58
0,10
2,0
0,1
70,39
0,3
1,0
0,4
0,44
5,0
0,6
3,0
0,35
0,24
2,0
0,3
1,0
29,3
1,0
3,0
0,25
0,164
3,0
13,0
8,0
4,33
27,0
21,0
0,8
1,0
1,5
0,2
160,8
1,0
6,0
19,0
5,19
1,10
1,0
0,1
0,1
0,24
0,8
8,0
2,14
1,0
7,0
1,0
2,0
0,1
0,1
4,22
5,0
2,0
0,12
2,0
2,0
5,0
0,0
1,0
303,6
1,2
1,0
1,0
7,49
2,0
1,0
0,4
0,1
0,1
1,0
539,24
0,16
11,0
0,3
5,0
8,51
1,27
3,0
8,0
211,1
1,1
1,112
0,2
10,0
0,2
0,1
0,7
3,0
0,5
1,0
0,23
2,0
2,0
0,2
0,0
4,0
6,2
50,0
0,11
66,7
1,2
0,4
3,4
4,12
0,0
1,0
2,0
0,10
0,0
1,122
0,3
16,81
1,13
7,5
0,16
0,9
8,0
2,0
0,2
2,0
2,0
0,6
3,13
0,2
5,0
0,14
19,1
0,65
4,0
19,59
1,0
1,0
3,0
8,0
0,13
0,5
2,0
0,1
1,0
3,0
7,0
4,9
0,35
5,1
0,2
49,168
48,112
2,0
0,50
7,5
61,4
3,0
2,0
11,2
29,0
1,0
5,0
1,0
6,13
1,0
3,57
5,1
0,0
0,3
0,2
215,0
138,0
12,0
0,10
1,0
1,0
0,0
48,0
4,91
1,0
9,5
164,21
1,37
1,0
0,41
1,0
2,0
11,0
0,39
2,54
0,8
0,32
2,2
3,0
47,2
12,0
5,0
1,0
2,6
0,23
1,0
0,7
1,0
263,0
0,4
2,0
4,0
0,47
1,0
5,0
0,45
0,12
14,24
2,0
0,0
0,5
0,0
0,17
3,54
13,0
44,21
1,0
0,3
0,3
14,34
1,0
1,0
3,0
27,0
0,4
0,0
1,9
3,12
11,7
3,8
2,0
0,9
116,0
2,0
0,11
33,1
0,5
10,0
3,0
8,0
2,0
83,0
