date_store,nodes_group_A,nodes_group_B,nodes_original
2-01,191,236,646
02,164,357,822
03,183,440,967
04,179,378,863
05,184,390,897
06,222,281,830
07,193,246,677
08,224,375,881
09,171,223,599
10,254,251,696
11,290,423,1039
12,960,1154,3067
13,995,1268,3350
14,668,836,2186
15,478,652,1651
16,342,584,1360
17,268,469,1095
18,245,417,1004
19,330,556,1248
20,504,730,1765
21,618,901,2194
22,1027,1068,3001
23,641,906,2177
24,2768,2406,7613
25,2584,2755,7611
26,2352,2557,7013
27,2547,2967,7844
28,2426,3090,7742
3-01,2485,3189,7965
3-02,2399,3035,7733
3-03,2386,2755,7247
3-04,2214,2693,6949
3-05,2094,2478,6431
3-06,2208,2539,6645
3-07,2160,2625,6669
3-08,2156,2515,6512
3-09,1878,2503,6225
3-10,1834,2203,5686
3-11,1831,2396,5974
