In-degree weak,Betweeness weak
0,0.0
0,0.0
3,0.0
0,0.0
34,0.0
0,0.0
4,0.0
0,0.0
3,0.0
138,0.0
1,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
5,9.27299327541886e-06
2,0.00026570460660698536
1,0.0
2,0.0
25,0.0
0,0.0
0,0.0
0,0.0
0,0.0
124,0.0
0,0.0
0,0.0
1,0.0
3,0.0
1,0.0
35,0.0
0,0.0
2,1.5920186707205828e-05
1,0.0
1,0.0
56,3.946984913401572e-05
1,0.00019368643145158032
0,0.0
5,0.0
0,0.0
0,0.0
15,6.985158190231577e-05
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.0
6,5.428867900949289e-06
1,0.00014696226093078888
0,0.0
0,0.0
3,0.0
0,0.0
0,0.0
1,0.0
1,0.0
6,0.0
1,0.0
0,0.0
14,0.0
0,0.0
1,0.0
0,0.0
0,0.0
4,0.0
0,0.0
2,0.0
0,0.0
0,0.0
1,0.0
0,0.0
4,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
4,4.171740048236296e-05
1,0.0
83,0.0
1,0.0
0,0.0
0,0.0
6,0.0
1,0.0
0,0.0
0,0.0
5,0.0
1,1.5920186707205828e-05
0,0.0
0,0.0
0,0.0
16,0.0
1,0.0
2,0.0
1,0.0
0,0.0
3,0.0
4,6.188863405138574e-06
2,0.0
0,0.0
0,0.0
1,7.836449576991606e-05
5,0.0
2,0.0
0,0.0
0,0.0
1,0.0
0,0.0
1,0.0
1,0.0
1,0.0
0,0.0
1,0.0
0,0.0
0,0.0
1,0.0
0,0.0
0,0.0
0,0.0
1,0.0
0,0.0
2,0.0
6,8.418144685156175e-05
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
1,0.0
0,0.0
0,0.0
0,0.0
3,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.0
2,1.7689096341339813e-07
0,0.0
0,0.0
0,0.0
3,0.0
1,0.0
134,0.0
0,0.0
3,0.0
0,0.0
4,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
75,0.00508012846329178
0,0.0
