in_degree_group_A,out_degree_group_A
1,0
2,0
0,9
3,0
1,0
0,4
2,5
0,0
1,0
1,0
4,0
17,20
5,0
1,0
1,0
1,0
1,0
7,0
1,0
1,0
1,0
2,0
0,2
1,0
3,0
0,5
0,3
3,0
1,0
0,7
0,1
9,0
0,10
11,0
2,0
3,0
1,0
3,0
2,0
3,0
2,0
0,1
2,4
1,0
1,0
1,0
1,0
1,0
1,0
9,11
2,0
2,0
0,3
3,0
1,0
2,0
1,0
5,0
3,0
5,5
11,0
1,0
4,0
0,17
0,0
2,0
1,0
0,51
0,33
1,0
2,0
19,3
1,0
6,0
1,0
5,0
1,0
1,0
13,0
0,3
0,1
1,0
5,0
1,0
0,3
1,0
5,0
3,0
1,0
1,10
1,0
1,0
2,0
4,29
1,0
0,35
0,0
0,0
0,4
1,0
0,8
0,1
8,0
0,48
2,0
0,1
1,0
2,0
1,0
1,0
1,0
0,1
3,0
4,0
0,0
0,4
1,0
1,0
1,26
1,0
2,0
0,0
3,0
0,0
0,3
10,0
2,0
2,0
1,0
1,0
1,0
10,0
0,0
1,0
8,5
0,4
0,3
0,12
3,0
26,0
1,0
1,0
7,0
2,0
0,1
11,0
4,0
2,58
1,0
2,0
3,0
13,0
1,0
5,0
9,0
0,125
1,0
1,0
2,0
6,3
2,0
1,38
1,0
0,13
75,0
2,0
0,4
14,2
1,0
0,19
0,0
0,5
9,0
1,0
2,0
1,0
8,0
1,0
10,0
3,0
1,0
0,0
1,0
0,0
11,0
13,0
1,8
3,0
1,0
2,0
1,0
0,7
2,0
0,59
1,0
34,0
1,0
2,0
1,0
1,0
19,0
1,0
0,12
0,0
1,0
3,0
0,1
5,0
1,0
0,24
5,0
1,0
0,0
26,0
0,0
1,0
8,0
1,0
3,0
0,0
3,102
1,0
2,0
0,0
4,0
1,0
1,2
1,0
1,0
3,0
3,0
0,72
0,4
1,0
36,0
1,0
1,64
1,0
13,0
0,9
1,0
2,0
50,0
0,109
6,0
0,3
5,42
1,0
0,0
0,5
5,0
1,0
3,0
2,11
0,1
1,0
183,4
1,0
1,0
2,0
0,1
1,0
0,24
0,0
1,0
2,0
0,5
0,0
2,0
1,0
6,0
3,25
0,8
2,0
0,0
23,0
2,0
