NtweetsGroupB,NtweetsGroupA,Ntweets,fractionTweetsGroupB,fractionTweetsGroupA
1.0,0.0,548,0.0018248175182481751,0.0
1.0,0.0,745,0.0013422818791946308,0.0
4.0,0.0,940,0.00425531914893617,0.0
0.0,1.0,836,0.0,0.0011961722488038277
0.0,0.0,880,0.0,0.0
0.0,0.0,740,0.0,0.0
0.0,1.0,592,0.0,0.0016891891891891893
0.0,0.0,845,0.0,0.0
2.0,2.0,468,0.004273504273504274,0.004273504273504274
0.0,0.0,560,0.0,0.0
2.0,2.0,995,0.0020100502512562816,0.0020100502512562816
1.0,0.0,4478,0.00022331397945511388,0.0
2.0,1.0,5021,0.00039832702648874725,0.00019916351324437363
1.0,3.0,2439,0.0004100041000410004,0.0012300123001230013
1.0,1.0,1647,0.0006071645415907711,0.0006071645415907711
1.0,1.0,1361,0.0007347538574577516,0.0007347538574577516
0.0,0.0,1045,0.0,0.0
1.0,1.0,930,0.001075268817204301,0.001075268817204301
3.0,1.0,1287,0.002331002331002331,0.000777000777000777
0.0,0.0,1933,0.0,0.0
1.0,4.0,2532,0.00039494470774091627,0.001579778830963665
3.0,1.0,3863,0.000776598498576236,0.0002588661661920787
1.0,1.0,2547,0.00039261876717707107,0.00039261876717707107
6.0,8.0,16938,0.00035423308537017357,0.0004723107804935648
6.0,45.0,19281,0.00031118717908822156,0.0023339038431616616
18.0,43.0,17538,0.0010263427984946972,0.00245181890751511
14.0,71.0,22239,0.0006295247088448222,0.0031925895948558838
26.0,63.0,25021,0.0010391271332081053,0.0025178849766196395
45.0,131.0,26037,0.0017283097131005876,0.005031301609248378
17.0,141.0,22973,0.0007399991294127889,0.006137639838070779
19.0,156.0,20828,0.0009122335317841367,0.007489917418859228
20.0,179.0,19721,0.0010141473556107702,0.009076618832716394
25.0,147.0,17244,0.0014497796334957086,0.008524704244954768
14.0,174.0,19372,0.0007226925459425976,0.008982035928143712
11.0,236.0,18739,0.0005870110464806019,0.012594055179038369
19.0,237.0,17734,0.0010713882936731701,0.013364159242133754
11.0,242.0,16277,0.000675800208883701,0.01486760459544142
35.0,229.0,13419,0.0026082420448617634,0.017065355093524106
78.0,0.0,14900,0.00523489932885906,0.0
