user,community,in-degree,out-degree,total-degree
1410302595902717952,B,251,1,252
951246650,B,247,0,247
420931672,B,195,1,196
1392726045082767360,B,179,3,182
1323040160,B,154,0,154
923271197986578432,B,114,0,114
1364939599601168385,B,103,0,103
2297691966,B,94,0,94
104170025,B,91,0,91
1219298065951133696,B,90,0,90
707022920,B,83,0,83
1311755732782657536,B,78,0,78
1360232480,B,76,2,78
608647135,B,76,0,76
1106458075182055424,B,72,0,72
1427559614833385473,B,69,0,69
438849246,B,57,3,60
1266634908,B,0,57,57
1370300701,B,1,52,53
1302616789348691968,B,52,1,53
445201884,B,50,0,50
1055863542023360512,B,1,42,43
130537001,B,43,0,43
