date_store,mod_weighted_file,random_mod_weighted_file
2-01,0.39324303000606264,"[0.05894908187926148, 0.05894908187926148, 0.05894908187926148, 0.05894908187926148, 0.05894908187926148, 0.05894908187926148, 0.05894908187926148, 0.05894908187926148, 0.05894908187926148, 0.05894908187926148]"
02,0.2891562803748162,"[0.04845606155643542, 0.04845606155643542, 0.04845606155643542, 0.04845606155643542, 0.04845606155643542, 0.04845606155643542, 0.04845606155643542, 0.04845606155643542, 0.04845606155643542, 0.04845606155643542]"
03,0.3371644448502556,"[0.029732012417823153, 0.029732012417823153, 0.029732012417823153, 0.029732012417823153, 0.029732012417823153, 0.029732012417823153, 0.029732012417823153, 0.029732012417823153, 0.029732012417823153, 0.029732012417823153]"
04,0.33676657101489393,"[0.05049964645009708, 0.05049964645009708, 0.05049964645009708, 0.05049964645009708, 0.05049964645009708, 0.05049964645009708, 0.05049964645009708, 0.05049964645009708, 0.05049964645009708, 0.05049964645009708]"
05,0.3305092147785833,"[0.05013538300288234, 0.05013538300288234, 0.05013538300288234, 0.05013538300288234, 0.05013538300288234, 0.05013538300288234, 0.05013538300288234, 0.05013538300288234, 0.05013538300288234, 0.05013538300288234]"
06,0.4245674488582592,"[0.08466597102574688, 0.08466597102574688, 0.08466597102574688, 0.08466597102574688, 0.08466597102574688, 0.08466597102574688, 0.08466597102574688, 0.08466597102574688, 0.08466597102574688, 0.08466597102574688]"
07,0.4177937447168216,"[0.0606508875739645, 0.0606508875739645, 0.0606508875739645, 0.0606508875739645, 0.0606508875739645, 0.0606508875739645, 0.0606508875739645, 0.0606508875739645, 0.0606508875739645, 0.0606508875739645]"
08,0.3527498332465302,"[0.056065714572882674, 0.056065714572882674, 0.056065714572882674, 0.056065714572882674, 0.056065714572882674, 0.056065714572882674, 0.056065714572882674, 0.056065714572882674, 0.056065714572882674, 0.056065714572882674]"
09,0.41712686120097153,"[0.021087257240575502, 0.021087257240575502, 0.021087257240575502, 0.021087257240575502, 0.021087257240575502, 0.021087257240575502, 0.021087257240575502, 0.021087257240575502, 0.021087257240575502, 0.021087257240575502]"
10,0.36585,"[0.09084999999999996, 0.09084999999999996, 0.09084999999999996, 0.09084999999999996, 0.09084999999999996, 0.09084999999999996, 0.09084999999999996, 0.09084999999999996, 0.09084999999999996, 0.09084999999999996]"
